"source","target","value","size"
"extracellular matrix organization","COL1A2",18.19,"10"
"extracellular matrix organization","LAMB1",18.19,"10"
"extracellular matrix organization","COL6A5",18.19,"10"
"extracellular matrix organization","COL12A1",18.19,"10"
"extracellular matrix organization","CLASP1",18.19,"10"
"extracellular matrix organization","QSOX1",18.19,"10"
"extracellular matrix organization","ADAM10",18.19,"10"
"extracellular matrix organization","CST3",18.19,"10"
"extracellular matrix organization","COL1A1",18.19,"10"
"extracellular matrix organization","APP",18.19,"10"
"extracellular matrix organization","COL5A2",18.19,"10"
"extracellular matrix organization","MMP2",18.19,"10"
"extracellular matrix organization","COL4A2",18.19,"10"
"extracellular matrix organization","LAMC1",18.19,"10"
"extracellular matrix organization","COL11A1",18.19,"10"
"extracellular matrix organization","B4GALT1",18.19,"10"
"extracellular matrix organization","COL5A1",18.19,"10"
"extracellular matrix organization","LOX",18.19,"10"
"extracellular matrix organization","LUM",18.19,"10"
"extracellular matrix organization","NID2",18.19,"10"
"extracellular matrix organization","DAG1",18.19,"10"
"extracellular matrix organization","TGFBI",18.19,"10"
"extracellular matrix organization","EXT1",18.19,"10"
"extracellular matrix organization","OLFML2B",18.19,"10"
"extracellular matrix organization","PXDN",18.19,"10"
"extracellular matrix organization","SFRP2",18.19,"10"
"extracellular structure organization","COL1A2",18.15,"10"
"extracellular structure organization","LAMB1",18.15,"10"
"extracellular structure organization","COL6A5",18.15,"10"
"extracellular structure organization","COL12A1",18.15,"10"
"extracellular structure organization","CLASP1",18.15,"10"
"extracellular structure organization","QSOX1",18.15,"10"
"extracellular structure organization","ADAM10",18.15,"10"
"extracellular structure organization","CST3",18.15,"10"
"extracellular structure organization","COL1A1",18.15,"10"
"extracellular structure organization","APP",18.15,"10"
"extracellular structure organization","COL5A2",18.15,"10"
"extracellular structure organization","MMP2",18.15,"10"
"extracellular structure organization","COL4A2",18.15,"10"
"extracellular structure organization","LAMC1",18.15,"10"
"extracellular structure organization","COL11A1",18.15,"10"
"extracellular structure organization","B4GALT1",18.15,"10"
"extracellular structure organization","COL5A1",18.15,"10"
"extracellular structure organization","LOX",18.15,"10"
"extracellular structure organization","LUM",18.15,"10"
"extracellular structure organization","NID2",18.15,"10"
"extracellular structure organization","DAG1",18.15,"10"
"extracellular structure organization","TGFBI",18.15,"10"
"extracellular structure organization","EXT1",18.15,"10"
"extracellular structure organization","OLFML2B",18.15,"10"
"extracellular structure organization","PXDN",18.15,"10"
"extracellular structure organization","SFRP2",18.15,"10"
"external encapsulating structure organization","COL1A2",18.09,"10"
"external encapsulating structure organization","LAMB1",18.09,"10"
"external encapsulating structure organization","COL6A5",18.09,"10"
"external encapsulating structure organization","COL12A1",18.09,"10"
"external encapsulating structure organization","CLASP1",18.09,"10"
"external encapsulating structure organization","QSOX1",18.09,"10"
"external encapsulating structure organization","ADAM10",18.09,"10"
"external encapsulating structure organization","CST3",18.09,"10"
"external encapsulating structure organization","COL1A1",18.09,"10"
