"name","pvalue","p.adjust","qvalue","value","grp","size","symbol","label"
"extracellular matrix organization",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10.1,"diamond","extracellular matrix organization"
"COL1A2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"LAMB1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL6A5",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL12A1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"CLASP1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"QSOX1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"ADAM10",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"CST3",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL1A1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"APP",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL5A2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"MMP2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL4A2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"LAMC1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL11A1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"B4GALT1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"COL5A1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"LOX",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"LUM",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"NID2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"DAG1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"TGFBI",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"EXT1",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"OLFML2B",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"PXDN",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"SFRP2",18.19,15.14,15.24,10.1,"nw_vs_dmso_down",10,"circle",""
"extracellular structure organization",18.15,15.14,15.24,10.07,"nw_vs_dmso_down",10.07,"diamond","extracellular structure organization"
"external encapsulating structure organization",18.09,15.14,15.24,10.01,"nw_vs_dmso_down",10.01,"diamond","external encapsulating structure organization"
"membrane lipid catabolic process",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",30.05,"diamond","membrane lipid catabolic process"
"ASAH1",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"PPT1",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"GLA",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"ENPP2",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"HEXA",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"FUCA1",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"HEXB",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"GM2A",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"NEU1",10.92,8.19,8.29,30.05,"nw_vs_dmso_down",10,"circle",""
"endoderm development",8.88,6.3,6.4,14.89,"nw_vs_dmso_down",14.89,"diamond","endoderm development"
"COL6A1",8.88,6.3,6.4,14.89,"nw_vs_dmso_down",10,"circle",""
"regulation of synapse structure or activity",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",8.05,"diamond","regulation of synapse structure or activity"
"THBS2",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"PRNP",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"NRP2",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"SRPX2",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"GPC4",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"CLSTN1",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"SLITRK5",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"CDH2",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"PTPRD",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"CLSTN2",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"IL1RAP",8.63,6.1,6.21,8.05,"nw_vs_dmso_down",10,"circle",""
"ameboidal-type cell migration",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",5.02,"diamond","ameboidal-type cell migration"
"ROBO1",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"CTSH",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"ADAM9",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"PTPRM",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"NRP1",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"PRCP",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"TIMP1",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"DCN",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"THBS1",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"SCG2",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"PTPRG",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"GRN",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"AKAP12",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"FSTL1",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"LGMN",8.5,6.08,6.18,5.02,"nw_vs_dmso_down",10,"circle",""
"endodermal cell differentiation",8.28,5.9,6,20.17,"nw_vs_dmso_down",20.17,"diamond","endodermal cell differentiation"
"epithelium migration",8.08,5.77,5.87,5.69,"nw_vs_dmso_down",5.69,"diamond","epithelium migration"
"synapse organization",7.85,5.63,5.73,5.15,"nw_vs_dmso_down",5.15,"diamond","synapse organization"
"CHRDL1",7.85,5.63,5.73,5.15,"nw_vs_dmso_down",10,"circle",""
"SDF4",7.85,5.63,5.73,5.15,"nw_vs_dmso_down",10,"circle",""
"regulation of synapse organization",7.81,5.61,5.71,7.68,"nw_vs_dmso_down",7.68,"diamond","regulation of synapse organization"
"carbohydrate derivative catabolic process",7.69,5.56,5.66,8.42,"nw_vs_dmso_down",8.42,"diamond","carbohydrate derivative catabolic process"
"CTSL",7.69,5.56,5.66,8.42,"nw_vs_dmso_down",10,"circle",""
"MANBA",7.69,5.56,5.66,8.42,"nw_vs_dmso_down",10,"circle",""
